name,category,dish_role,cooking_method,spice_level,suitable_meals,origin,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,purine_mg,calcium_mg,iron_mg,zinc_mg,vitamin_a_mcg,vitamin_c_mg,tags,data_source,source_url,note
Phở bò tái,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,307,351.1,21.1,59.7,3.2,0.9,1.3,995.6,35.4,,70.7,3.5,2.0,,19.2,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bánh phở tươi 180g + thịt bò thăn 60g + giá đỗ 30g + hành lá 15g + rau mùi 10g + nước mắm 12g. Vay USDA: zinc_mg. Nước dùng xương không tính vào khối lượng suất vì bảng gốc không có mục tương ứng; phần natri của nước dùng được xấp xỉ bằng lượng nước mắm nêm. Đây là ước tính thiếu, cần đối chiếu USDA khi hoàn thiện"
Phở gà,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,287,406.4,21.0,58.2,10.0,0.3,0.1,987.9,52.5,,60.5,2.3,1.7,,18.4,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bánh phở tươi 180g + thịt gà 70g + hành lá 15g + rau mùi 10g + nước mắm 12g. Vay USDA: zinc_mg. Như phở bò, phần nước dùng không tính vào khối lượng suất"
Bún bò Huế,mon_nuoc,main,khac,2,breakfast|lunch|dinner,Huế,350,405.3,23.1,54.1,10.6,1.7,1.2,1269.0,56.7,,56.2,3.3,2.6,,6.0,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + thịt bò 50g + giò heo 40g + giá đỗ 30g + hành lá 15g + mắm ruốc và nước mắm 15g. Vay USDA: sodium_mg, zinc_mg. Vị cay từ sa tế, lượng không đáng kể về năng lượng nên không tính"
Bún riêu cua,mon_nuoc,main,khac,1,breakfast|lunch|dinner,Miền Bắc,362,331.8,15.6,55.8,5.0,1.5,1.5,1284.2,164.3,,125.7,2.9,3.3,,21.6,contains_egg|contains_seafood|sour,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + cua đồng 60g + cà chua 50g + trứng gà 25g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, sodium_mg, zinc_mg. Gạch cua lấy từ mục cua đồng, không tách riêng phần gạch"
Bún mọc,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,307,411.7,16.0,52.5,15.2,1.3,0.1,1010.0,47.6,,53.6,2.2,2.0,,17.0,salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: bún tươi 200g + giò sống và mọc 70g + hành lá 15g + rau mùi 10g + nước mắm 12g. Vay USDA: sodium_mg, zinc_mg. Mọc tính theo thịt lợn nạc vừa vì bảng gốc không có mục giò sống"
Hủ tiếu Nam Vang,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Miền Nam,322,460.2,23.2,58.3,14.9,0.1,0.2,1049.0,215.9,,421.0,2.4,2.3,,2.6,contains_egg|contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: hủ tiếu 180g + thịt lợn nạc 50g + tôm 40g + trứng cút 25g + hành lá 15g + nước mắm 12g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, zinc_mg. Sợi hủ tiếu tính theo bánh phở vì cùng là sợi gạo tươi; trứng cút tính theo trứng gà"
Miến gà,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Hà Nội,255,313.3,17.7,39.6,9.3,1.0,0.1,856.6,52.5,,48.8,2.0,1.6,,18.4,light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: miến dong đã ngâm 150g + thịt gà 70g + hành lá 15g + rau mùi 10g + nước mắm 10g. Vay USDA: sodium_mg, zinc_mg. Miến dong tính theo bún tươi vì bảng gốc không có mục miến; cần đối chiếu lại, đây là điểm yếu nhất của dòng này"
Bánh canh cua,mon_nuoc,main,khac,0,breakfast|lunch|dinner,Miền Nam,312,397.4,21.4,68.8,4.1,0.1,,1164.0,164.3,,140.3,3.8,1.7,,1.6,contains_egg|contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: sợi bánh canh 200g + thịt cua biển 60g + trứng cút 25g + hành lá 15g + nước mắm 12g. Vay USDA: zinc_mg. Sợi bánh canh bột gạo tính theo bánh phở
Mì Quảng,mon_nuoc,main,khac,1,lunch|dinner,Quảng Nam,354,514.7,26.7,61.0,18.2,1.2,1.6,1055.2,209.1,,454.8,3.5,2.4,,24.9,contains_egg|contains_peanut|contains_seafood|salty,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,"Công thức: sợi mì Quảng 180g + tôm 40g + thịt lợn 40g + trứng cút 25g + giá đỗ 30g + rau sống 15g + nước mắm 12g + đậu phộng rang 12g. Vay USDA: cholesterol_mg, iron_mg, sodium_mg, vitamin_c_mg, zinc_mg. Đậu phộng rang rắc lên đã tính vào công thức và gắn nhãn dị nguyên"
Cháo gà,mon_nuoc,main,khac,0,breakfast|dinner,Toàn quốc,145,300.4,17.1,39.0,8.5,0.5,0.1,823.6,45.0,,44.6,2.2,1.8,,18.0,light,Bảng thành phần thực phẩm Việt Nam 2007 (cộng dồn từ nguyên liệu),https://www.fao.org/fileadmin/templates/food_composition/documents/pdf/VTN_FCT_2007.pdf,Công thức: gạo tẻ 50g + thịt gà 60g + hành lá 15g + rau mùi 10g + nước mắm 10g. Gạo tính theo khối lượng gạo khô trước khi nấu; khối lượng suất vì vậy nhỏ hơn bát cháo thực tế khoảng bốn lần do gạo hút nước
